title,authors,publishedDate,categories,description,averageRating,textSnippet
Wrought Steel Circular Sections,['Carnegie Steel Company'],1919,['Car'],N/A,N/A,N/A
Street Machines,['Modern Publishing'],1998-02,['Juvenile Fiction'],"""Lead yourself into the amazing world of Hot Wheels vehicles as these extraordinary cars and trucks display what it takes to make it to the Street Machines Car Show on time""--Cover p. [4].",N/A,N/A
Fundamentals of Computer Command Control,['GM Product service training'],198?,['Car'],N/A,N/A,N/A
Sate Capability Assessment for Readines (CAR),"['United States. Federal Emergency Management Agency', 'National Emergency Management Association']",1997,['CAR.'],N/A,N/A,N/A
Crazy Cars,['ROB. COLSON'],2022-07-30,[],"Since cars were invented, they've been pushed to maximum speed, both on the road and on the track. This high-interest historical take on the evolution of high-velocity vehicles features the famous cars that have pushed the extremes and the people who have made them possible. Timelines, up-close photographs, and action-packed images accompany the accessible text, which includes plenty of statistics and other facts. From deafening dragsters to a rocket car faster than the speed of sound, these are the fascinating vehicles that push the extremes. A concluding Speed File graphic organizer helps young engineers compare record-setting speeds of different classes of vehicles.",N/A,N/A
Wild Wheels!,"['Keith Davidson', 'NASCAR (Association)']",2004,"['Automobiles, Racing']","With more than 20 big flaps to lift, young readers can take a peek under the hood of a powerful NASCAR race car or get an inside look at what goes on in a NASCAR garage. Full color.",N/A,N/A
First discovered series,[],2000,['Car'],N/A,N/A,N/A
Why Have CO2 Emissions Increased in the Transport Sector in Asia ?,"['Govinda R. Timilsina', 'Ashish Shrestha']",2009,[],N/A,N/A,N/A
Richard Scarry's Cars and Trains,"[""Richard Scarry's""]",1967,['Automobiles'],N/A,N/A,N/A
Pop,['Kris Bonnell'],2013-05-01,[],N/A,N/A,N/A
Chilton's Import Auto Service Manual,[],1999,['Auto'],"Offers maintenance, service, and repair information for automotive professionals, from drive train to chassis and associated components.",N/A,N/A
Auto Service Manual,['The Nichols/Chilton'],2000-01-12,['Auto'],Covers all mass-produced American cars of the past three years plus the current year.,N/A,N/A
A Car that Goes Far,['Yael Mermelstein'],2009,['Jewish way of life'],N/A,N/A,N/A
Chilton's Import Car,"['Chilton', 'Chilton Automotive Editorial Staff', 'The Nichols/Chilton']",2000-01-12,['Auto'],"Complete coverage of repair procedures for imported vehicles is offered, from drive train to chassis and all associated components. Information on total maintenance, service and repair information for the automotive professionals provided in an easy-to-read format, supported by quick-reference sections as well as exploded-view illustrations, diagrams and charts. Photos.",N/A,N/A
Lock-in Effects of Road Expansion on CO2 Emissions,"['Alex Anas', 'Govinda R. Timilsina']",2009,[],N/A,N/A,N/A
"Africa Child Survival Initiative, Combatting Childhood Communicable Diseases (ACSI-CCCD)",['Stanley O. Foster'],1992,['Burundi'],N/A,N/A,N/A
Inventos historia ilustrada del automovil,['Navil Ghatak'],2012,['Automovil'],N/A,N/A,N/A
